CookerStat, GenerateAssetRegistry=0.189800, Initialize=0.336591, RunGuid=RunID7994D4F14B5B97F185F9C2AA74DD9970
DDCTransactionIdDF1A829645F522F1E41D358023E13DDA_0, PutCachedData=, CacheKey=REFL_FULL_0C6693969CB849AE9F4120FF5812F4D2_B946EA17430A90185C76BFB3F15D52D9, StartTime=2016.07.25-10.07.26, HierarchicalDDC=, DataSize=167908, Duration=3.096923, RunGuid=RunID7994D4F14B5B97F185F9C2AA74DD9970
DDCTransactionIdDF1A829645F522F1E41D358023E13DDA_1, PutCachedData=, CacheKey=REFL_FULL_0C6693969CB849AE9F4120FF5812F4D2_DD2B0C4A422B01F9B69C078135461FCE, StartTime=2016.07.25-10.09.08, HierarchicalDDC=, DataSize=167908, Duration=4.784666, RunGuid=RunID7994D4F14B5B97F185F9C2AA74DD9970
DDCTransactionIdDF1A829645F522F1E41D358023E13DDA_2, PutCachedData=, CacheKey=REFL_FULL_0C6693969CB849AE9F4120FF5812F4D2_FB84E1CA43DF947B7134A1B7A3657D10, StartTime=2016.07.25-10.09.38, HierarchicalDDC=, DataSize=167908, Duration=4.679862, RunGuid=RunID7994D4F14B5B97F185F9C2AA74DD9970
DDCTransactionIdDF1A829645F522F1E41D358023E13DDA_3, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_8F__592BA813B6A7930DB2968748C6A77F1F8D446B2D, StartTime=2016.07.25-10.11.42, HierarchicalDDC=, DataSize=88733, Duration=3.619224, RunGuid=RunID7994D4F14B5B97F185F9C2AA74DD9970
DDCTransactionIdDF1A829645F522F1E41D358023E13DDA_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7AAA22F34E32DF757DD5238D753093B__9747C334C0C867A7DC3B41830FB8E1A593855AD9, StartTime=2016.07.25-10.11.42, HierarchicalDDC=, DataSize=26230, Duration=3.316425, RunGuid=RunID7994D4F14B5B97F185F9C2AA74DD9970
DDCTransactionIdDF1A829645F522F1E41D358023E13DDA_5, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_7AAA22F34E32DF757__BA2813327A845353340A50962B5B56BCD1A8D7D9, StartTime=2016.07.25-10.11.42, HierarchicalDDC=, DataSize=645, Duration=2.549022, RunGuid=RunID7994D4F14B5B97F185F9C2AA74DD9970
DDCTransactionId4C7369D24D8602C936255D95CEBCF819_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_27CB409A4EA1961BBF5CB98F461B5665_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000100000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.07.25-10.11.42, Duration=53.292889, RunGuid=RunID7994D4F14B5B97F185F9C2AA74DD9970
DDCTransactionIdDF1A829645F522F1E41D358023E13DDA_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_27CB409A4EA1961BBF5CB98F461B5__9207469843C0A84E7C6C4D7632CDF59515D7EBCC, StartTime=2016.07.25-10.11.42, HierarchicalDDC=, DataSize=16647, Duration=4.028183, RunGuid=RunID7994D4F14B5B97F185F9C2AA74DD9970
DDCTransactionIdDF1A829645F522F1E41D358023E13DDA_7, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_27CB409A4EA1961BBF5CB98F461B5__EFCEB895414C1737EA808DDE646F5576988EABF6, StartTime=2016.07.25-10.11.42, HierarchicalDDC=, DataSize=6309, Duration=2.788663, RunGuid=RunID7994D4F14B5B97F185F9C2AA74DD9970
DDCTransactionIdDF1A829645F522F1E41D358023E13DDA_8, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_79__F40934EDD38E157EA338E06F6064E316E0984ECF, StartTime=2016.07.25-10.11.54, HierarchicalDDC=, DataSize=48757, Duration=5.387187, RunGuid=RunID7994D4F14B5B97F185F9C2AA74DD9970
DDCTransactionIdDF1A829645F522F1E41D358023E13DDA_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E3A15E954B0B8797EB4E6E8BB8F23ED__097BABF67C3427F0282B635A3378214BCA81FDB9, StartTime=2016.07.25-10.11.54, HierarchicalDDC=, DataSize=15981, Duration=2.984271, RunGuid=RunID7994D4F14B5B97F185F9C2AA74DD9970
DDCTransactionIdDF1A829645F522F1E41D358023E13DDA_10, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_E3A15E954B0B8797E__9A391B3334B70398C71591F2C2CFDCD70D50EE87, StartTime=2016.07.25-10.11.54, HierarchicalDDC=, DataSize=645, Duration=3.516812, RunGuid=RunID7994D4F14B5B97F185F9C2AA74DD9970
SavePackageTransactionIdE91378D240325B8E92FE279E117D3FA1_0, Filename=C:/Users/Risukun/Documents/GitHub/Uptime/Content/AnimStarterPack/Enemy_Idle.uasset, AutoPackageBackupDelegate=18.894236, FlushAsyncLoading=0.019114, FlushStreamingFunc=0.092514, BlockTillAllRequestsFinished=0.100363, ResetLoadersForSaveUnMarkAllObjects=34.508232, TagPackageExports=0.433881, BeginCacheForCookedPlatformData=0.002392, SerializeImports=2.021603, GatherLocalizableTextData=16.610115, MarkNames=0.036187, SerializeSummary=4.262708, SerializeNames=0.144739, SerializeGatherableTextData=0.003416, BuildExportMap=0.408281, SortExportsNonSeekfree=0.354685, SortExportsSeekfreeConstructor=0.664309, SortExportsSeekfreeInner=1.579527, SortExportsSeekfree=0.005119, BuildDependencyMap=0.016730, SerializeImportMap=0.017751, SerializeExportMap=0.011608, SerializeDependencyMap=0.002045, SerializeStringAssetReferenceMap=0.002392, SaveThumbNailsAssetRegistryDataWorldLevelInfo=16.801287, SerializeExports=1.901440, SerializeBulkData=0.023212, MoveFile=4.133325, UnaccountedTime=11.392597, RunGuid=RunID7994D4F14B5B97F185F9C2AA74DD9970
SavePackageTransactionIdE91378D240325B8E92FE279E117D3FA1_1, Filename=C:/Users/Risukun/Documents/GitHub/Uptime/Content/AnimStarterPack/Enemy_Walk.uasset, AutoPackageBackupDelegate=5.298428, FlushAsyncLoading=0.011608, FlushStreamingFunc=0.083294, BlockTillAllRequestsFinished=0.005804, ResetLoadersForSaveUnMarkAllObjects=0.521272, TagPackageExports=0.150204, BeginCacheForCookedPlatformData=0.001706, SerializeImports=1.001924, GatherLocalizableTextData=0.702545, MarkNames=0.010241, SerializeSummary=0.017751, SerializeNames=0.101388, SerializeGatherableTextData=0.001706, BuildExportMap=0.033796, SortExportsNonSeekfree=0.012971, SortExportsSeekfreeConstructor=0.011947, SortExportsSeekfreeInner=0.632562, SortExportsSeekfree=0.004098, BuildDependencyMap=0.010241, SerializeImportMap=0.013996, SerializeExportMap=0.010926, SerializeDependencyMap=0.001706, SerializeStringAssetReferenceMap=0.002049, SaveThumbNailsAssetRegistryDataWorldLevelInfo=11.376891, SerializeExports=1.830094, SerializeBulkData=0.010241, MoveFile=1.907583, UnaccountedTime=1.483601, RunGuid=RunID7994D4F14B5B97F185F9C2AA74DD9970
