CookerStat, GenerateAssetRegistry=0.064317, Initialize=0.256952, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
DDCTransactionIdFCB2F5144541C97F01120392B33F9894_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6F18D19C440119B7645B16936CAB5D7B__1_0_13123_0, StartTime=2016.07.29-23.51.07, HierarchicalDDC=, DataSize=1970, Duration=3.419083, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
DDCTransactionIdEE9F59A34CCE52DF238587A4818E6770_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8B954A3049878CBE1EC76AB976BA1150__1_0_13123_0, StartTime=2016.07.29-23.51.07, HierarchicalDDC=, DataSize=2008, Duration=3.371082, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
DDCTransactionId95D1E10240BB8710F91CB48E4E05F512_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_002B166747B2F70C3E83279C8970810D__1_0_13123_0, StartTime=2016.07.29-23.51.07, HierarchicalDDC=, DataSize=3054, Duration=3.767550, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
DDCTransactionIdFCB2F5144541C97F01120392B33F9894_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F7A32E324C7865BDA1B0608F2F366A80__1_0_13123_0, StartTime=2016.07.29-23.51.07, HierarchicalDDC=, DataSize=1407, Duration=3.194131, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
DDCTransactionIdEE9F59A34CCE52DF238587A4818E6770_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8341E2F14EB2554880FBA5A54A5B702F__1_0_13123_0, StartTime=2016.07.29-23.51.07, HierarchicalDDC=, DataSize=2134, Duration=3.502920, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
DDCTransactionId95D1E10240BB8710F91CB48E4E05F512_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_BC33134A4946ACAFFA7CD7AC4FC172DC__1_0_13123_0, StartTime=2016.07.29-23.51.07, HierarchicalDDC=, DataSize=2840, Duration=3.862586, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
DDCTransactionIdFCB2F5144541C97F01120392B33F9894_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3C334A284A197D4090F6EDA0AF00332F__1_0_13123_0, StartTime=2016.07.29-23.51.07, HierarchicalDDC=, DataSize=3849, Duration=3.419083, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
DDCTransactionIdEE9F59A34CCE52DF238587A4818E6770_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B39A9C454221B981DFAA59ABA8289F42__1_0_13123_0, StartTime=2016.07.29-23.51.07, HierarchicalDDC=, DataSize=2502, Duration=3.609158, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
DDCTransactionId95D1E10240BB8710F91CB48E4E05F512_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5C3B562140CBE2973B7050B36E08D279__1_0_13123_0, StartTime=2016.07.29-23.51.07, HierarchicalDDC=, DataSize=2968, Duration=3.574595, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
DDCTransactionIdFCB2F5144541C97F01120392B33F9894_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F6AC34A24CE5FA090148E8923FCFBD93__1_0_13123_0, StartTime=2016.07.29-23.51.07, HierarchicalDDC=, DataSize=1731, Duration=3.305487, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
DDCTransactionIdEE9F59A34CCE52DF238587A4818E6770_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_CBBFAAA24B2F8CC05BF724B7465E2DE4__1_0_13123_0, StartTime=2016.07.29-23.51.07, HierarchicalDDC=, DataSize=2742, Duration=3.668673, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
